20251208 064300;25801.5;25801.5;25797.5;25800.75;560
20251208 064400;25800.75;25801;25798.75;25799.75;83
20251208 064500;25799.75;25799.75;25796.75;25798.5;173
20251208 064600;25798.75;25804.5;25798.75;25802.75;275
20251208 064700;25802.75;25803.5;25801.25;25802;116
20251208 064800;25802;25803;25801;25803;50
20251208 064900;25803;25803;25801;25801;137
20251208 065000;25801.5;25801.75;25798.25;25799.25;115
20251208 065100;25799;25799.75;25798.25;25799.25;119
20251208 065200;25799.5;25801.25;25797.25;25798;146
20251208 065300;25797.75;25798.25;25794.25;25795.75;383
20251208 065400;25795.5;25798;25795;25796.75;150
20251208 065500;25796;25797.25;25795.25;25796.5;110
20251208 065600;25796.25;25797.75;25790.25;25790.5;389
20251208 065700;25790.25;25793.25;25788.25;25792.75;421
20251208 065800;25793;25794;25791;25792;90
20251208 065900;25792.5;25792.5;25790;25790.5;116
20251208 070000;25790.5;25791.5;25790;25790;104
20251208 070100;25789.75;25789.75;25777.5;25781.75;1513
20251208 070200;25782.25;25785.75;25780.75;25781.5;497
20251208 070300;25781.25;25784.25;25780;25784.25;192
20251208 070400;25784;25785.5;25780;25782.5;251
20251208 070500;25782.75;25787.25;25782.75;25786.5;238
20251208 070600;25786.75;25794.25;25786.75;25792.75;535
20251208 070700;25792.75;25792.75;25787.5;25787.5;221
20251208 070800;25787.75;25790.5;25785;25789.5;270
20251208 070900;25790;25795.5;25790;25793.5;247
20251208 071000;25793.5;25794.5;25790;25793.5;165
20251208 071100;25793.75;25795;25791;25791.75;244
20251208 071200;25792.25;25794.75;25790.25;25794.25;209
20251208 071300;25794;25795.75;25792;25794.75;177
20251208 071400;25795;25795.5;25793.25;25793.75;114
20251208 071500;25794.25;25795.75;25792.75;25794;140
20251208 071600;25794.25;25795.75;25792.75;25794.75;192
20251208 071700;25794.75;25806.25;25794.5;25804.75;748
20251208 071800;25805.25;25810;25804.5;25805;581
20251208 071900;25805;25806.75;25804;25806.75;170
20251208 072000;25806.25;25811.5;25804.25;25810;349
20251208 072100;25809.75;25814.25;25808.5;25809.25;512
20251208 072200;25809.75;25814.5;25809.75;25813.25;262
20251208 072300;25812.75;25815.75;25812.25;25813.25;315
20251208 072400;25812;25814;25810;25813.5;200
20251208 072500;25813.5;25814.5;25810;25811;216
20251208 072600;25811.75;25813;25810;25812.5;158
20251208 072700;25812.5;25813.75;25809;25809.25;181
20251208 072800;25809.75;25813.25;25807.5;25813;263
20251208 072900;25813.5;25815.5;25811.75;25812;255
20251208 073000;25811.75;25813.75;25810.75;25812;146
20251208 073100;25811.5;25812;25804.5;25807.75;490
20251208 073200;25807;25808;25806;25807.25;86
20251208 073300;25806.75;25811.25;25806.25;25810;160
20251208 073400;25810.5;25814.25;25810.5;25813;162
20251208 073500;25813.25;25818;25813;25815.75;308
20251208 073600;25816.25;25819;25816.25;25817.75;203
20251208 073700;25818;25819;25816.25;25817.5;195
20251208 073800;25817.75;25821;25817;25819.75;408
20251208 073900;25820.25;25820.75;25818.75;25820;205
20251208 074000;25819;25820.25;25817.75;25818;197
20251208 074100;25818;25821;25817.25;25817.5;234
20251208 074200;25817.5;25818.25;25814.25;25816.75;196
20251208 074300;25817.25;25818;25816.5;25817.25;63
20251208 074400;25817;25819.5;25817;25818;235
20251208 074500;25818;25818.75;25816;25816;71
20251208 074600;25816.25;25817;25810.75;25811.25;327
20251208 074700;25811.25;25814;25810.5;25812.25;254
20251208 074800;25811.25;25812.25;25806.25;25807;307
20251208 074900;25807.5;25810.75;25804;25810;348
20251208 075000;25810;25811;25808;25808;139
20251208 075100;25808.5;25808.75;25802.5;25803.25;328
20251208 075200;25803.5;25805;25800.5;25801.5;264
20251208 075300;25801;25803.5;25799.75;25801.75;262
20251208 075400;25802;25809.25;25800.5;25807;442
20251208 075500;25807.5;25812.25;25807.5;25811.25;299
20251208 075600;25811.75;25812.25;25806.25;25807.75;210
20251208 075700;25808.25;25808.75;25803.75;25805.5;133
20251208 075800;25804.75;25807.5;25802.5;25806.5;164
20251208 075900;25806;25807;25803.5;25804.5;189
20251208 080000;25804.5;25805.75;25801;25805;224
20251208 080100;25805.5;25806.5;25798.25;25801.75;751
20251208 080200;25801.25;25804;25792.25;25794.5;807
20251208 080300;25794;25798;25792.75;25798;357
20251208 080400;25797.75;25801;25795.25;25797.5;281
20251208 080500;25797.5;25804.5;25795;25802.5;377
20251208 080600;25802;25804;25795.75;25798.5;267
20251208 080700;25797.75;25799.5;25795.75;25796;169
20251208 080800;25795.75;25799;25795.25;25797.25;210
20251208 080900;25797;25801.25;25795.75;25797.75;197
20251208 081000;25797.75;25798.75;25793;25794.75;280
20251208 081100;25796;25799.5;25795;25797.25;243
20251208 081200;25797.25;25798;25791.75;25793.75;298
20251208 081300;25793.5;25796.25;25792;25795.25;235
20251208 081400;25794.75;25795.5;25788.75;25790.75;413
